SourceFile,GPSLatitude,GPSLongitude,GPSAltitude
20180204_192953.jpg,-35.4977777778,-70.9047222222,1703
20180204_192958.jpg,-35.4977777778,-70.9047222222,1703
20180205_082106.jpg,-35.4977777778,-70.9047222222,1713
20180205_082108.jpg,-35.4977777778,-70.9047222222,1713
20180205_082112.jpg,-35.4972222222,-70.8938888889,1799
20180205_082114.jpg,-35.4972222222,-70.8938888889,1799
20180205_083634.jpg,-35.4961111111,-70.8861111111,1836
20180205_083638.jpg,-35.4961111111,-70.8861111111,1836
20180205_083642.jpg,-35.4961111111,-70.8861111111,1836
20180205_084057.jpg,-35.4952777778,-70.8844444444,1798
20180205_084058.jpg,-35.4952777778,-70.8844444444,1798
20180205_084115.jpg,-35.4952777778,-70.8844444444,1798
20180205_084124.jpg,-35.4952777778,-70.8844444444,1798
20180205_084128.jpg,-35.4952777778,-70.8844444444,1798
20180205_084131.jpg,-35.4952777778,-70.8844444444,1798
20180205_084426.jpg,-35.4952777778,-70.8844444444,1798
20180205_084428.jpg,-35.4952777778,-70.8841666667,1815
20180205_090412.jpg,-35.4952777778,-70.8841666667,1815
20180205_090418.jpg,-35.4933333333,-70.8786111111,1835
20180205_090423.jpg,-35.4933333333,-70.8786111111,1835
20180205_090424.jpg,-35.4933333333,-70.8786111111,1835
20180205_090830.jpg,-35.4936111111,-70.8769444444,1889
20180205_094118.jpg,-35.4936111111,-70.8769444444,1889
20180205_112436.jpg,-35.4913888889,-70.8686111111,
20180205_112438.jpg,-35.4913888889,-70.8686111111,
20180205_115124.jpg,-35.4916666667,-70.8686111111,1971
20180205_115125.jpg,-35.4844444444,-70.8625,2282
20180205_115127.jpg,-35.4844444444,-70.8625,2282
20180205_115129.jpg,-35.4844444444,-70.8625,2282
20180205_115131.jpg,-35.4844444444,-70.8625,2282
20180205_115724.jpg,-35.4844444444,-70.8625,2282
20180205_121035.jpg,-35.4841666667,-70.8575,2257
20180205_121036.jpg,-35.4841666667,-70.8575,2257
20180205_121039.jpg,-35.4841666667,-70.8575,2257
20180205_122528.jpg,-35.4841666667,-70.8575,2257
20180205_122530.jpg,-35.4844444444,-70.8513888889,2263
20180205_123311.jpg,-35.4844444444,-70.8488888889,
20180205_123323.jpg,-35.4844444444,-70.8488888889,2304
20180205_123325.jpg,-35.4844444444,-70.8488888889,2304
20180205_123328.jpg,-35.4844444444,-70.8488888889,2304
20180205_123330.jpg,-35.4844444444,-70.8488888889,2304
20180205_134527.jpg,-35.4833333333,-70.8452777778,2289
20180205_134701.jpg,-35.4830555556,-70.8452777778,2319
20180205_135123.jpg,-35.4833333333,-70.8455555556,2328
20180205_144700.jpg,-35.4841666667,-70.8375,2398
20180205_150827.jpg,-35.4841666667,-70.8375,2398
20180205_150828.jpg,-35.4841666667,-70.8375,2398
20180205_151159.jpg,-35.4838888889,-70.8308333333,2483
20180205_151200.jpg,-35.4838888889,-70.8308333333,2483
20180205_151202.jpg,-35.4838888889,-70.8308333333,2483
20180205_151204.jpg,-35.4838888889,-70.8308333333,2483
20180205_151207.jpg,-35.4838888889,-70.8308333333,2483
20180205_155629.jpg,-35.4838888889,-70.8308333333,2483
20180205_155631.jpg,-35.4838888889,-70.8308333333,2483
20180205_155634.jpg,-35.48,-70.8241666667,2609
20180205_155639.jpg,-35.48,-70.8241666667,
20180205_155640.jpg,-35.48,-70.8241666667,
20180205_155643.jpg,-35.48,-70.8241666667,
20180205_155652.jpg,-35.48,-70.8241666667,2569
20180205_162131.jpg,-35.48,-70.8241666667,2609
20180205_162136.jpg,-35.4808333333,-70.8208333333,
20180205_162138.jpg,-35.4808333333,-70.8208333333,
20180205_171321.jpg,-35.4808333333,-70.8208333333,2520
20180205_171323.jpg,-35.4808333333,-70.8208333333,2520
20180205_171326.jpg,-35.4883333333,-70.8055555556,2337
20180205_171330.jpg,-35.4883333333,-70.8055555556,2337
20180205_210254.jpg,-35.4969444444,-70.7641666667,2027
